participant,epochs,SAT,condition
S10,109,accuracy,High
S10,110,accuracy,High
S10,111,accuracy,High
S10,112,accuracy,High
S10,113,accuracy,High
S10,114,accuracy,High
S10,115,accuracy,Low
S10,116,accuracy,High
S10,117,accuracy,Low
S10,118,accuracy,Low
S10,119,accuracy,Low
S10,120,accuracy,Low
S10,121,accuracy,High
S10,122,accuracy,Medium
S10,123,accuracy,Medium
S10,124,accuracy,High
S10,125,accuracy,Medium
S10,126,accuracy,Medium
S10,127,accuracy,Medium
S10,128,accuracy,Medium
S10,129,accuracy,Medium
S10,130,accuracy,Medium
S10,131,accuracy,Medium
S10,132,accuracy,High
S10,133,accuracy,Medium
S10,134,accuracy,High
S10,135,accuracy,High
S10,136,accuracy,Medium
S10,137,accuracy,Medium
S10,138,accuracy,Low
S10,139,accuracy,Medium
S10,140,accuracy,Medium
S10,141,accuracy,Low
S10,142,accuracy,High
S10,143,accuracy,Medium
S10,144,accuracy,High
S10,145,accuracy,High
S10,146,accuracy,Low
S10,147,accuracy,Low
S10,148,accuracy,Low
S10,149,accuracy,High
S10,150,accuracy,Medium
S10,151,accuracy,Medium
S10,152,accuracy,Medium
S10,153,accuracy,Low
S10,154,accuracy,Low
S10,155,accuracy,High
S10,156,accuracy,High
S10,157,accuracy,High
S10,158,accuracy,Low
S10,159,accuracy,High
S10,160,accuracy,Medium
S10,161,accuracy,Medium
S10,162,accuracy,High
S10,163,accuracy,Low
S10,164,accuracy,High
S10,165,accuracy,Medium
S10,166,accuracy,High
S10,167,accuracy,High
S10,168,accuracy,Low
S10,169,accuracy,High
S10,170,accuracy,High
S10,171,accuracy,Low
S10,172,accuracy,Low
S10,173,accuracy,Medium
S10,174,accuracy,High
S10,175,accuracy,Medium
S10,176,accuracy,Medium
S10,177,accuracy,Medium
S10,178,accuracy,Low
S10,179,accuracy,Medium
S10,180,accuracy,Low
S10,181,accuracy,High
S10,182,accuracy,Medium
S10,183,accuracy,Medium
S10,184,accuracy,High
S10,185,accuracy,Low
S10,186,accuracy,Low
S10,187,accuracy,High
S10,188,accuracy,Medium
S10,189,accuracy,Medium
S10,192,accuracy,Low
S10,193,accuracy,Low
S10,194,accuracy,High
S10,195,accuracy,High
S10,196,accuracy,High
S10,197,accuracy,Medium
S10,198,accuracy,High
S10,199,accuracy,High
S10,200,accuracy,Medium
S10,201,accuracy,Medium
S10,204,speed,High
S10,205,speed,High
S10,206,speed,High
S10,208,speed,High
S10,209,speed,Medium
S10,210,speed,Low
S10,211,speed,Medium
S10,212,speed,Low
S10,213,speed,Low
S10,214,speed,Medium
S10,215,speed,Medium
S10,216,speed,Low
S10,217,speed,Low
S10,218,speed,Medium
S10,219,speed,Medium
S10,220,speed,High
S10,221,speed,High
S10,222,speed,Low
S10,223,speed,Medium
S10,224,speed,Medium
S10,225,speed,High
S10,226,speed,Medium
S10,227,speed,Low
S10,228,speed,High
S10,229,speed,Medium
S10,230,speed,Medium
S10,231,speed,Medium
S10,232,speed,High
S10,233,speed,Low
S10,234,speed,Low
S10,235,speed,Medium
S10,236,speed,Medium
S10,241,speed,High
S10,242,speed,High
S10,243,speed,High
S10,244,speed,High
S10,245,speed,Medium
S10,246,speed,Medium
S10,247,speed,High
S10,248,speed,Medium
S10,249,speed,Medium
S10,250,speed,Medium
S10,251,speed,Medium
S10,252,speed,High
S10,253,speed,Low
S10,254,speed,Medium
S10,255,speed,High
S10,256,speed,High
S10,257,speed,Medium
S10,258,speed,Medium
S10,259,speed,High
S10,260,speed,Medium
S10,261,speed,Medium
S10,262,speed,Medium
S10,263,speed,High
S10,264,speed,High
S10,265,speed,Medium
S10,266,speed,High
S10,267,speed,High
S10,268,speed,High
S10,270,speed,Low
S10,271,speed,High
S10,272,speed,Low
S10,273,speed,Medium
S10,274,speed,Low
S10,275,speed,Medium
S10,280,speed,High
S10,281,speed,Low
S10,282,speed,High
S10,283,speed,Low
S10,284,speed,Low
S10,285,speed,High
S10,286,speed,High
S10,287,speed,Medium
S10,288,speed,High
S10,289,speed,Low
S10,290,speed,High
S10,291,speed,Medium
S10,292,speed,High
S10,293,speed,High
S10,294,speed,High
S10,298,speed,High
S10,299,speed,Medium
S10,300,speed,High
S10,301,speed,High
S10,302,speed,Medium
S10,303,speed,Low
S10,304,speed,Low
S10,612,speed,Low
S10,613,speed,Low
S10,614,speed,Medium
S10,616,speed,High
S10,617,speed,Medium
S10,618,speed,Low
S10,619,speed,Low
S10,620,speed,Medium
S10,621,speed,Low
S10,622,speed,Low
S10,623,speed,High
S10,624,speed,Low
S10,625,speed,High
S10,626,speed,Medium
S10,627,speed,Medium
S10,628,speed,Medium
S10,629,speed,High
S10,630,speed,Medium
S10,631,speed,High
S10,632,speed,Low
S10,635,speed,High
S10,637,speed,Low
S10,638,speed,High
S10,639,speed,High
S10,640,speed,Low
S10,641,speed,High
S10,642,speed,High
S10,643,speed,Low
S10,644,speed,Low
S10,645,speed,Medium
S10,646,speed,High
S10,647,speed,Medium
S10,648,speed,Low
S10,649,speed,Medium
S10,650,speed,Low
S10,651,speed,Low
S10,652,speed,Low
S10,653,speed,Low
S10,654,speed,Medium
S10,655,speed,Medium
S10,656,speed,High
S10,657,speed,High
S10,658,speed,Low
S10,659,speed,Medium
S10,660,speed,High
S10,661,speed,Low
S10,662,speed,Medium
S10,663,speed,Low
S10,664,speed,High
S10,665,speed,High
S10,666,speed,Medium
S10,667,speed,High
S10,668,speed,High
S10,669,speed,High
S10,670,speed,Medium
S10,671,speed,Medium
S10,672,speed,Medium
S10,673,speed,High
S10,674,speed,High
S10,675,speed,Medium
S10,676,speed,High
S10,677,speed,High
S10,678,speed,High
S10,679,speed,Low
S10,680,speed,High
S10,681,speed,Medium
S10,682,speed,High
S10,683,speed,High
S10,684,speed,High
S10,685,speed,Low
S10,686,speed,High
S10,687,speed,High
S10,688,speed,Low
S10,689,speed,Medium
S10,690,speed,Low
S10,691,speed,High
S10,692,speed,High
S10,693,speed,High
S10,694,speed,High
S10,695,speed,Low
S10,696,speed,High
S10,697,speed,High
S10,698,speed,Low
S10,699,speed,Medium
S10,700,speed,Low
S10,701,speed,Medium
S10,702,speed,High
S10,703,speed,Medium
S10,704,speed,Low
S10,705,speed,Medium
S10,706,speed,High
S10,707,speed,Medium
S10,708,speed,Medium
S10,709,speed,High
S10,710,speed,Medium
S10,711,speed,High
S10,712,speed,Low
S10,714,speed,High
S10,715,speed,Low
S10,716,speed,Medium
S10,717,speed,Medium
S10,718,speed,Medium
S10,719,speed,High
S10,720,speed,Medium
S10,721,speed,Medium
S10,722,speed,Low
S10,723,speed,Medium
S10,724,speed,High
S10,730,speed,High
S10,731,speed,Low
S10,732,speed,Low
S10,733,speed,Medium
S10,734,speed,Medium
S10,735,speed,High
S10,736,speed,Medium
S10,737,speed,Medium
S10,738,speed,Medium
S10,739,speed,Low
S10,740,speed,Medium
S10,741,speed,Low
S10,742,speed,High
S10,743,speed,Medium
S10,744,speed,Medium
S10,745,speed,Low
S10,746,speed,Low
S10,747,speed,Low
S10,748,speed,Low
S10,749,speed,Low
S10,750,speed,Medium
S10,751,speed,Low
S10,752,speed,Low
S10,753,speed,Low
S10,754,speed,Low
S10,755,speed,Low
S10,756,speed,Medium
S10,757,speed,High
S10,758,speed,Medium
S10,759,speed,High
S10,760,speed,High
S10,761,speed,Low
S10,762,speed,Low
S10,763,speed,Medium
S10,764,speed,High
S10,765,speed,Medium
S10,766,speed,Medium
S10,767,speed,High
S10,768,speed,Medium
S10,769,speed,Medium
S10,770,speed,High
S10,771,speed,Medium
S10,772,speed,Medium
S10,773,speed,Low
S10,774,speed,Low
S10,775,speed,Low
S10,776,speed,Low
S10,777,speed,Medium
S10,778,speed,High
S10,779,speed,Medium
S10,780,speed,Low
S10,781,speed,Medium
S10,782,speed,Medium
S10,783,speed,Medium
S10,784,speed,Low
S10,785,speed,Low
S10,786,speed,Medium
S10,787,speed,Medium
S10,788,speed,Low
S10,789,speed,High
S10,790,speed,Low
S10,791,speed,High
S10,792,speed,Low
S10,793,speed,Medium
S10,794,speed,Medium
S10,795,speed,Low
S10,796,speed,Low
S10,798,speed,Low
S10,799,speed,Low
S10,802,speed,Low
S10,803,speed,Low
S10,804,speed,Medium
S10,805,speed,High
S10,806,speed,Low
S10,807,speed,Medium
S10,808,speed,Medium
S10,809,speed,Medium
S10,810,speed,Low
S10,811,speed,Medium
S10,812,speed,Low
S10,813,speed,Low
S10,814,speed,High
S10,816,accuracy,High
S10,817,accuracy,High
S10,818,accuracy,High
S10,819,accuracy,Low
S10,820,accuracy,Low
S10,821,accuracy,Low
S10,822,accuracy,Low
S10,823,accuracy,High
S10,824,accuracy,Medium
S10,825,accuracy,Medium
S10,826,accuracy,Low
S10,830,accuracy,Low
S10,831,accuracy,Medium
S10,832,accuracy,Low
S10,833,accuracy,Medium
S10,834,accuracy,High
S10,835,accuracy,Medium
S10,836,accuracy,High
S10,837,accuracy,Low
S10,838,accuracy,High
S10,839,accuracy,High
S10,840,accuracy,High
S10,841,accuracy,High
S10,842,accuracy,High
S10,843,accuracy,High
S10,844,accuracy,High
S10,845,accuracy,Low
S10,846,accuracy,Medium
S10,847,accuracy,Medium
S10,848,accuracy,High
S10,849,accuracy,Low
S10,850,accuracy,High
S10,851,accuracy,High
S10,852,accuracy,Low
S10,853,accuracy,Medium
S10,854,accuracy,High
S10,855,accuracy,Medium
S10,856,accuracy,High
S10,857,accuracy,Low
S10,858,accuracy,High
S10,859,accuracy,Medium
S10,860,accuracy,Medium
S10,861,accuracy,High
S10,862,accuracy,Low
S10,863,accuracy,High
S10,864,accuracy,Medium
S10,865,accuracy,Low
S10,866,accuracy,Low
S10,867,accuracy,Medium
S10,868,accuracy,Low
S10,869,accuracy,High
S10,870,accuracy,Medium
S10,871,accuracy,Medium
S10,872,accuracy,Medium
S10,873,accuracy,Medium
S10,874,accuracy,Medium
S10,875,accuracy,Medium
S10,876,accuracy,High
S10,877,accuracy,Medium
S10,878,accuracy,Medium
S10,879,accuracy,Medium
S10,880,accuracy,High
S10,881,accuracy,High
S10,882,accuracy,High
S10,883,accuracy,Low
S10,884,accuracy,Medium
S10,885,accuracy,High
S10,886,accuracy,Medium
S10,887,accuracy,High
S10,888,accuracy,Medium
S10,889,accuracy,Low
S10,890,accuracy,Medium
S10,891,accuracy,Medium
S10,892,accuracy,Medium
S10,893,accuracy,High
S10,894,accuracy,Medium
S10,895,accuracy,Medium
S10,896,accuracy,High
S10,897,accuracy,Medium
S10,898,accuracy,High
S10,899,accuracy,Low
S10,900,accuracy,Medium
S10,901,accuracy,Medium
S10,902,accuracy,Low
S10,903,accuracy,Medium
S10,904,accuracy,Medium
S10,905,accuracy,High
S10,906,accuracy,Low
S10,907,accuracy,Medium
S10,908,accuracy,High
S10,909,accuracy,Medium
S10,910,accuracy,High
S10,911,accuracy,Medium
S10,912,accuracy,Medium
S10,913,accuracy,High
S10,914,accuracy,Medium
S10,915,accuracy,Low
S10,916,accuracy,Medium
S10,1224,accuracy,Medium
S10,1225,accuracy,High
S10,1226,accuracy,Medium
S10,1227,accuracy,Medium
S10,1228,accuracy,High
S10,1229,accuracy,Medium
S10,1230,accuracy,Medium
S10,1231,accuracy,Low
S10,1232,accuracy,Medium
S10,1233,accuracy,Medium
S10,1234,accuracy,Low
S10,1235,accuracy,High
S10,1236,accuracy,High
S10,1237,accuracy,Medium
S10,1238,accuracy,High
S10,1239,accuracy,Low
S10,1240,accuracy,High
S10,1241,accuracy,Medium
S10,1242,accuracy,Low
S10,1243,accuracy,Low
S10,1244,accuracy,High
S10,1245,accuracy,High
S10,1250,accuracy,Low
S10,1251,accuracy,High
S10,1252,accuracy,Low
S10,1253,accuracy,Low
S10,1254,accuracy,High
S10,1255,accuracy,Medium
S10,1256,accuracy,High
S10,1257,accuracy,Low
S10,1258,accuracy,Medium
S10,1259,accuracy,Medium
S10,1262,accuracy,Low
S10,1263,accuracy,Low
S10,1264,accuracy,Low
S10,1265,accuracy,Medium
S10,1266,accuracy,High
S10,1267,accuracy,Low
S10,1268,accuracy,Medium
S10,1269,accuracy,Low
S10,1270,accuracy,Medium
S10,1271,accuracy,High
S10,1272,accuracy,High
S10,1273,accuracy,Low
S10,1274,accuracy,Medium
S10,1275,accuracy,Low
S10,1276,accuracy,High
S10,1277,accuracy,Medium
S10,1278,accuracy,Low
S10,1279,accuracy,Medium
S10,1280,accuracy,Low
S10,1281,accuracy,High
S10,1282,accuracy,Low
S10,1283,accuracy,High
S10,1284,accuracy,High
S10,1285,accuracy,Medium
S10,1286,accuracy,Medium
S10,1287,accuracy,High
S10,1288,accuracy,Medium
S10,1289,accuracy,High
S10,1290,accuracy,Medium
S10,1291,accuracy,Medium
S10,1292,accuracy,High
S10,1293,accuracy,Low
S10,1294,accuracy,High
S10,1295,accuracy,High
S10,1296,accuracy,Medium
S10,1297,accuracy,Low
S10,1298,accuracy,High
S10,1299,accuracy,High
S10,1300,accuracy,High
S10,1301,accuracy,High
S10,1302,accuracy,Medium
S10,1303,accuracy,Medium
S10,1304,accuracy,High
S10,1305,accuracy,High
S10,1306,accuracy,Medium
S10,1307,accuracy,Medium
S10,1308,accuracy,Low
S10,1309,accuracy,Low
S10,1310,accuracy,Low
S10,1311,accuracy,Medium
S10,1312,accuracy,Low
S10,1313,accuracy,Low
S10,1314,accuracy,Medium
S10,1315,accuracy,High
S10,1316,accuracy,Low
S10,1317,accuracy,Medium
S10,1318,accuracy,High
S10,1319,accuracy,High
S10,1320,accuracy,Low
S10,1321,accuracy,Low
S10,1322,accuracy,Low
S10,1323,accuracy,Low
S10,1324,accuracy,Medium
S10,1326,accuracy,High
S10,1327,accuracy,Medium
S10,1328,accuracy,High
S10,1329,accuracy,High
S10,1333,accuracy,High
S10,1334,accuracy,High
S10,1335,accuracy,Medium
S10,1336,accuracy,High
S10,1337,accuracy,High
S10,1338,accuracy,High
S10,1339,accuracy,High
S10,1340,accuracy,Medium
S10,1341,accuracy,Medium
S10,1342,accuracy,Medium
S10,1343,accuracy,Low
S10,1344,accuracy,High
S10,1345,accuracy,Low
S10,1346,accuracy,High
S10,1347,accuracy,High
S10,1348,accuracy,Medium
S10,1349,accuracy,High
S10,1350,accuracy,High
S10,1351,accuracy,Medium
S10,1352,accuracy,High
S10,1353,accuracy,Low
S10,1354,accuracy,Medium
S10,1355,accuracy,Low
S10,1356,accuracy,Medium
S10,1357,accuracy,High
S10,1358,accuracy,High
S10,1359,accuracy,High
S10,1360,accuracy,High
S10,1361,accuracy,Medium
S10,1362,accuracy,Medium
S10,1363,accuracy,Low
S10,1364,accuracy,High
S10,1365,accuracy,Medium
S10,1366,accuracy,Medium
S10,1367,accuracy,High
S10,1368,accuracy,High
S10,1369,accuracy,Medium
S10,1370,accuracy,High
S10,1371,accuracy,Medium
S10,1372,accuracy,High
S10,1373,accuracy,High
S10,1374,accuracy,Low
S10,1375,accuracy,Medium
S10,1376,accuracy,Low
S10,1377,accuracy,Medium
S10,1378,accuracy,Low
S10,1379,accuracy,Low
S10,1380,accuracy,Medium
S10,1384,accuracy,High
S10,1385,accuracy,Low
S10,1386,accuracy,Medium
S10,1387,accuracy,High
S10,1388,accuracy,Low
S10,1393,accuracy,Low
S10,1394,accuracy,Medium
S10,1395,accuracy,Medium
S10,1398,accuracy,Low
S10,1399,accuracy,High
S10,1400,accuracy,High
S10,1401,accuracy,Low
S10,1402,accuracy,High
S10,1403,accuracy,Low
S10,1404,accuracy,Low
S10,1405,accuracy,Medium
S10,1406,accuracy,High
S10,1407,accuracy,Medium
S10,1408,accuracy,High
S10,1409,accuracy,Medium
S10,1410,accuracy,High
S10,1411,accuracy,High
S10,1412,accuracy,Medium
S10,1413,accuracy,Medium
S10,1414,accuracy,High
S10,1415,accuracy,High
S10,1416,accuracy,High
S10,1417,accuracy,Low
S10,1418,accuracy,Medium
S10,1419,accuracy,Medium
S10,1420,accuracy,High
S10,1421,accuracy,Low
S10,1422,accuracy,Low
S10,1423,accuracy,Low
S10,1424,accuracy,High
S10,1425,accuracy,Medium
S10,1426,accuracy,High
S10,1428,speed,High
S10,1429,speed,Low
S10,1430,speed,High
S10,1431,speed,Low
S10,1432,speed,Low
S10,1433,speed,Medium
S10,1434,speed,Medium
S10,1435,speed,Medium
S10,1436,speed,Low
S10,1437,speed,Medium
S10,1438,speed,Medium
S10,1439,speed,Low
S10,1440,speed,Medium
S10,1441,speed,Medium
S10,1442,speed,Low
S10,1443,speed,Medium
S10,1444,speed,Medium
S10,1445,speed,Low
S10,1446,speed,Medium
S10,1447,speed,Low
S10,1448,speed,Medium
S10,1449,speed,High
S10,1450,speed,High
S10,1451,speed,Medium
S10,1452,speed,Medium
S10,1453,speed,Medium
S10,1454,speed,Medium
S10,1455,speed,Low
S10,1456,speed,Low
S10,1457,speed,High
S10,1458,speed,Low
S10,1459,speed,High
S10,1460,speed,High
S10,1461,speed,High
S10,1462,speed,Low
S10,1463,speed,High
S10,1464,speed,High
S10,1465,speed,High
S10,1469,speed,High
S10,1470,speed,High
S10,1471,speed,High
S10,1472,speed,Medium
S10,1473,speed,High
S10,1474,speed,High
S10,1475,speed,Low
S10,1476,speed,High
S10,1477,speed,High
S10,1478,speed,High
S10,1479,speed,High
S10,1480,speed,High
S10,1481,speed,High
S10,1482,speed,High
S10,1483,speed,Medium
S10,1484,speed,High
S10,1485,speed,Medium
S10,1486,speed,Low
S10,1487,speed,Medium
S10,1488,speed,High
S10,1489,speed,High
S10,1490,speed,High
S10,1491,speed,Medium
S10,1492,speed,Low
S10,1493,speed,Medium
S10,1494,speed,Low
S10,1495,speed,Medium
S10,1496,speed,Low
S10,1497,speed,Low
S10,1501,speed,High
S10,1502,speed,High
S10,1503,speed,Low
S10,1504,speed,Medium
S10,1505,speed,Medium
S10,1506,speed,Medium
S10,1507,speed,Low
S10,1508,speed,Low
S10,1509,speed,High
S10,1510,speed,High
S10,1511,speed,High
S10,1512,speed,Low
S10,1513,speed,High
S10,1514,speed,High
S10,1515,speed,Medium
S10,1516,speed,High
S10,1517,speed,High
S10,1518,speed,Medium
S10,1519,speed,High
S10,1520,speed,High
S10,1521,speed,Medium
S10,1522,speed,Medium
S10,1523,speed,Low
S10,1524,speed,Medium
S10,1525,speed,High
S10,1526,speed,High
S10,1527,speed,Low
S10,1528,speed,High
S10,1836,speed,High
S10,1837,speed,Low
S10,1838,speed,High
S10,1839,speed,Low
S10,1840,speed,High
S10,1841,speed,High
S10,1842,speed,Medium
S10,1843,speed,High
S10,1844,speed,Medium
S10,1845,speed,High
S10,1846,speed,High
S10,1847,speed,High
S10,1848,speed,High
S10,1849,speed,Low
S10,1850,speed,Medium
S10,1851,speed,Medium
S10,1852,speed,Medium
S10,1853,speed,Low
S10,1854,speed,Low
S10,1855,speed,Low
S10,1856,speed,High
S10,1857,speed,Low
S10,1858,speed,Low
S10,1859,speed,High
S10,1860,speed,Medium
S10,1861,speed,Low
S10,1862,speed,Low
S10,1863,speed,Medium
S10,1864,speed,High
S10,1865,speed,Medium
S10,1866,speed,High
S10,1867,speed,Medium
S10,1868,speed,Low
S10,1870,speed,Low
S10,1871,speed,High
S10,1872,speed,High
S10,1873,speed,Medium
S10,1874,speed,High
S10,1875,speed,High
S10,1876,speed,Low
S10,1877,speed,Low
S10,1878,speed,High
S10,1879,speed,Low
S10,1880,speed,Low
S10,1883,speed,Low
S10,1884,speed,Low
S10,1886,speed,Low
S10,1887,speed,Low
S10,1889,speed,Low
S10,1890,speed,Low
S10,1891,speed,Low
S10,1892,speed,Medium
S10,1893,speed,Medium
S10,1894,speed,Low
S10,1895,speed,High
S10,1896,speed,Low
S10,1897,speed,Low
S10,1900,speed,Low
S10,1901,speed,Low
S10,1902,speed,High
S10,1903,speed,Low
S10,1904,speed,High
S10,1905,speed,Medium
S10,1906,speed,High
S10,1907,speed,High
S10,1908,speed,Low
S10,1909,speed,Low
S10,1910,speed,Medium
S10,1911,speed,Medium
S10,1912,speed,High
S10,1913,speed,Medium
S10,1914,speed,High
S10,1915,speed,Medium
S10,1916,speed,High
S10,1917,speed,High
S10,1918,speed,High
S10,1919,speed,Low
S10,1920,speed,Medium
S10,1921,speed,Low
S10,1922,speed,Low
S10,1923,speed,High
S10,1924,speed,Low
S10,1925,speed,Medium
S10,1926,speed,Low
S10,1927,speed,Low
S10,1928,speed,Medium
S10,1929,speed,High
S10,1930,speed,Medium
S10,1931,speed,Medium
S10,1932,speed,Low
S10,1933,speed,Low
S10,1934,speed,Low
S10,1938,speed,High
S10,1939,speed,Medium
S10,1940,speed,High
S10,1941,speed,Medium
S10,1942,speed,Medium
S10,1943,speed,Low
S10,1944,speed,High
S10,1945,speed,Low
S10,1946,speed,Medium
S10,1947,speed,Low
S10,1948,speed,Low
S10,1949,speed,Low
S10,1950,speed,Medium
S10,1953,speed,Medium
S10,1956,speed,Low
S10,1957,speed,Low
S10,1958,speed,Low
S10,1959,speed,Low
S10,1960,speed,Medium
S10,1961,speed,Low
S10,1962,speed,High
S10,1964,speed,Low
S10,1965,speed,Low
S10,1966,speed,Low
S10,1967,speed,Low
S10,1968,speed,Low
S10,1970,speed,Medium
S10,1971,speed,High
S10,1972,speed,Medium
S10,1973,speed,Medium
S10,1974,speed,Low
S10,1975,speed,High
S10,1976,speed,Low
S10,1977,speed,Low
S10,1979,speed,Medium
S10,1980,speed,Medium
S10,1981,speed,High
S10,1982,speed,Low
S10,1983,speed,Low
S10,1986,speed,High
S10,1987,speed,High
S10,1988,speed,Low
S10,1989,speed,High
S10,1990,speed,Low
S10,1991,speed,Medium
S10,1992,speed,High
S10,1993,speed,Medium
S10,1994,speed,Medium
S10,1995,speed,Medium
S10,1997,speed,High
S10,1998,speed,High
S10,1999,speed,High
S10,2000,speed,Low
S10,2001,speed,Medium
S10,2002,speed,Medium
S10,2003,speed,Medium
S10,2004,speed,Low
S10,2005,speed,Medium
S10,2006,speed,Low
S10,2007,speed,Medium
S10,2008,speed,High
S10,2009,speed,Medium
S10,2010,speed,Medium
S10,2011,speed,High
S10,2013,speed,Medium
S10,2014,speed,Medium
S10,2015,speed,Medium
S10,2016,speed,Low
S10,2017,speed,Low
S10,2018,speed,Low
S10,2019,speed,Medium
S10,2020,speed,Medium
S10,2021,speed,Medium
S10,2022,speed,Medium
S10,2024,speed,Medium
S10,2025,speed,High
S10,2026,speed,High
S10,2027,speed,Low
S10,2028,speed,High
S10,2034,speed,Low
S10,2035,speed,Low
S10,2036,speed,Low
S10,2038,speed,Low
S10,2040,accuracy,High
S10,2041,accuracy,High
S10,2042,accuracy,High
S10,2043,accuracy,Low
S10,2044,accuracy,Medium
S10,2045,accuracy,High
S10,2046,accuracy,High
S10,2047,accuracy,Medium
S10,2048,accuracy,Medium
S10,2049,accuracy,Medium
S10,2050,accuracy,High
S10,2051,accuracy,High
S10,2052,accuracy,Low
S10,2053,accuracy,Medium
S10,2054,accuracy,Low
S10,2055,accuracy,Medium
S10,2056,accuracy,Low
S10,2057,accuracy,Low
S10,2058,accuracy,Low
S10,2059,accuracy,Low
S10,2060,accuracy,Low
S10,2061,accuracy,Low
S10,2062,accuracy,High
S10,2063,accuracy,Medium
S10,2064,accuracy,Low
S10,2065,accuracy,Low
S10,2066,accuracy,Low
S10,2067,accuracy,High
S10,2068,accuracy,Low
S10,2069,accuracy,Low
S10,2070,accuracy,Low
S10,2071,accuracy,Low
S10,2072,accuracy,Low
S10,2073,accuracy,Low
S10,2074,accuracy,Low
S10,2075,accuracy,Low
S10,2076,accuracy,Low
S10,2077,accuracy,Low
S10,2078,accuracy,High
S10,2079,accuracy,Low
S10,2080,accuracy,Low
S10,2081,accuracy,Low
S10,2082,accuracy,Low
S10,2083,accuracy,Low
S10,2084,accuracy,Low
S10,2085,accuracy,Medium
S10,2086,accuracy,Low
S10,2087,accuracy,Low
S10,2088,accuracy,Medium
S10,2089,accuracy,High
S10,2090,accuracy,Medium
S10,2091,accuracy,Low
S10,2092,accuracy,High
S10,2093,accuracy,Medium
S10,2094,accuracy,Low
S10,2095,accuracy,Low
S10,2096,accuracy,Low
S10,2097,accuracy,Low
S10,2098,accuracy,Medium
S10,2099,accuracy,Medium
S10,2100,accuracy,High
S10,2101,accuracy,High
S10,2102,accuracy,High
S10,2103,accuracy,High
S10,2104,accuracy,High
S10,2105,accuracy,Low
S10,2106,accuracy,High
S10,2107,accuracy,High
S10,2108,accuracy,Medium
S10,2109,accuracy,Low
S10,2110,accuracy,High
S10,2111,accuracy,Medium
S10,2112,accuracy,Low
S10,2113,accuracy,Medium
S10,2114,accuracy,Medium
S10,2115,accuracy,High
S10,2116,accuracy,Low
S10,2117,accuracy,High
S10,2118,accuracy,Low
S10,2119,accuracy,Medium
S10,2120,accuracy,Low
S10,2121,accuracy,Medium
S10,2122,accuracy,Low
S10,2123,accuracy,Medium
S10,2124,accuracy,Low
S10,2125,accuracy,Low
S10,2126,accuracy,Low
S10,2127,accuracy,Low
S10,2128,accuracy,Low
S10,2129,accuracy,Medium
S10,2130,accuracy,High
S10,2131,accuracy,Low
S10,2132,accuracy,Low
S10,2133,accuracy,Medium
